ID	adj.P.Val	P.Value	t	B	logFC	Gene	SPOT_ID
LOC100128174	5.50E-01	3.80E-01	0.883254	-6.08219	0.00995395	LOC100128174	
LOC100130422	5.50E-01	3.80E-01	0.883155	-6.08227	0.1184676	LOC100130422	
ERGIC2	5.50E-01	3.80E-01	-0.882783	-6.08259	-0.05708713	ERGIC2	
LOC441554	5.51E-01	3.80E-01	-0.882679	-6.08268	-0.01836626	LOC441554	
HS.576042	5.51E-01	3.80E-01	-0.882553	-6.08279	-0.0112229	HS.576042	
C2ORF37	5.51E-01	3.80E-01	-0.882377	-6.08295	-0.0206037	C2ORF37	
LOC652150	5.51E-01	3.80E-01	-0.882367	-6.08295	-0.01022617	LOC652150	
LOC100131746	5.51E-01	3.80E-01	0.882313	-6.083	0.01210502	LOC100131746	
TEKT2	5.51E-01	3.80E-01	0.882302	-6.08301	0.01295564	TEKT2	
DPPA5	5.51E-01	3.80E-01	0.882288	-6.08302	0.01073	DPPA5	
GPRC5D	5.51E-01	3.80E-01	0.882222	-6.08308	0.01232434	GPRC5D	
AQR	5.51E-01	3.80E-01	-0.882183	-6.08311	-0.02256354	AQR	
LOC441874	5.51E-01	3.80E-01	-0.882056	-6.08322	-0.01147905	LOC441874	
LOC390211	5.51E-01	3.81E-01	-0.882002	-6.08327	-0.00892215	LOC390211	
HS.125983	5.51E-01	3.81E-01	-0.88197	-6.0833	-0.00954257	HS.125983	
FLJ27255	5.51E-01	3.81E-01	0.881969	-6.0833	0.01395205	FLJ27255	
LOC653254	5.51E-01	3.81E-01	0.881894	-6.08336	0.01233175	LOC653254	
HS.574667	5.51E-01	3.81E-01	-0.881858	-6.08339	-0.02903217	HS.574667	
AQP5	5.51E-01	3.81E-01	0.881779	-6.08346	0.01305942	AQP5	
LOC100134327	5.51E-01	3.81E-01	0.881673	-6.08355	0.01136105	LOC100134327	
AOX2P	5.51E-01	3.81E-01	-0.881656	-6.08357	-0.03070028	AOX2P	
UGT3A2	5.51E-01	3.81E-01	-0.881582	-6.08363	-0.01104648	UGT3A2	
PRELP	5.51E-01	3.81E-01	0.881507	-6.0837	0.03023517	PRELP	
HS.582536	5.51E-01	3.81E-01	-0.881369	-6.08381	-0.0123689	HS.582536	
CLASP1	5.51E-01	3.81E-01	0.881336	-6.08384	0.04729728	CLASP1	
KCNA6	5.51E-01	3.81E-01	-0.881137	-6.08402	-0.04977872	KCNA6	
FOLR1	5.51E-01	3.81E-01	0.881101	-6.08405	0.10182836	FOLR1	
LOC100131573	5.51E-01	3.81E-01	0.8809	-6.08422	0.00840481	LOC100131573	
PPWD1	5.51E-01	3.81E-01	-0.880745	-6.08435	-0.0665331	PPWD1	
LOC642867	5.51E-01	3.81E-01	-0.880671	-6.08442	-0.00997832	LOC642867	
POLR2K	5.51E-01	3.81E-01	-0.880559	-6.08451	-0.02821963	POLR2K	
FAM55A	5.51E-01	3.81E-01	0.880553	-6.08452	0.0100256	FAM55A	
TPRXL	5.51E-01	3.81E-01	-0.880496	-6.08457	-0.00592075	TPRXL	
HS.423336	5.52E-01	3.81E-01	0.880418	-6.08464	0.05391455	HS.423336	
C11ORF34	5.52E-01	3.81E-01	0.880402	-6.08465	0.00785983	C11ORF34	
FAM101A	5.52E-01	3.81E-01	0.880181	-6.08484	0.02215434	FAM101A	
LOC440361	5.52E-01	3.82E-01	-0.880124	-6.08489	-0.01065486	LOC440361	
FAM90A5	5.52E-01	3.82E-01	-0.880065	-6.08494	-0.01003362	FAM90A5	
LOC642780	5.52E-01	3.82E-01	0.879955	-6.08503	0.02898035	LOC642780	
LOC100132528	5.52E-01	3.82E-01	0.879877	-6.0851	0.05936403	LOC100132528	
PCDHB2	5.52E-01	3.82E-01	-0.8796	-6.08534	-0.02835736	PCDHB2	
FITM2	5.52E-01	3.82E-01	0.879518	-6.08541	0.01304711	FITM2	
LOC388080	5.52E-01	3.82E-01	-0.879435	-6.08548	-0.00820223	LOC388080	
HS.543211	5.52E-01	3.82E-01	-0.87919	-6.08569	-0.02118163	HS.543211	
GM127	5.52E-01	3.82E-01	-0.879062	-6.0858	-0.0136158	GM127	
LOC648278	5.52E-01	3.82E-01	0.878945	-6.0859	0.01039311	LOC648278	
MAGEA1	5.52E-01	3.82E-01	-0.878933	-6.08591	-0.00873291	MAGEA1	
LOC100133815	5.53E-01	3.82E-01	-0.878677	-6.08613	-0.0114258	LOC100133815	
LHFPL3	5.53E-01	3.82E-01	-0.878671	-6.08614	-0.01345971	LHFPL3	
HS.546375	5.53E-01	3.82E-01	-0.878573	-6.08622	-0.01722284	HS.546375	
ACER3	5.53E-01	3.82E-01	0.878468	-6.08631	0.05841883	ACER3	
LOC642567	5.53E-01	3.82E-01	-0.878445	-6.08633	-0.0479316	LOC642567	
LOC652298	5.53E-01	3.82E-01	-0.878349	-6.08642	-0.00913012	LOC652298	
LOC100131622	5.53E-01	3.82E-01	0.878334	-6.08643	0.01094121	LOC100131622	
LOC100129015	5.53E-01	3.83E-01	0.878262	-6.08649	0.00860447	LOC100129015	
WDR5	5.53E-01	3.83E-01	0.878261	-6.08649	0.03136792	WDR5	
REL	5.53E-01	3.83E-01	0.878213	-6.08653	0.02258805	REL	
ENDOD1	5.53E-01	3.83E-01	-0.877755	-6.08693	-0.06429635	ENDOD1	
ANKH	5.53E-01	3.83E-01	0.877284	-6.08733	0.01009289	ANKH	
IQSEC1	5.53E-01	3.83E-01	-0.87711	-6.08748	-0.05389152	IQSEC1	
HS.521338	5.53E-01	3.83E-01	-0.877037	-6.08754	-0.01186244	HS.521338	
C19ORF20	5.54E-01	3.83E-01	-0.876711	-6.08782	-0.01211306	C19ORF20	
C6ORF100	5.54E-01	3.83E-01	0.876635	-6.08789	0.01297299	C6ORF100	
LOC643123	5.54E-01	3.83E-01	-0.876504	-6.088	-0.01950124	LOC643123	
FLJ41821	5.54E-01	3.84E-01	-0.876268	-6.0882	-0.0107665	FLJ41821	
LOC100132050	5.54E-01	3.84E-01	-0.876216	-6.08825	-0.00882161	LOC100132050	
CD27	5.54E-01	3.84E-01	-0.876204	-6.08826	-0.00845685	CD27	
TGDS	5.54E-01	3.84E-01	0.876177	-6.08828	0.03312394	TGDS	
LOC646103	5.54E-01	3.84E-01	0.876156	-6.0883	0.01385525	LOC646103	
LOC100128172	5.54E-01	3.84E-01	-0.876071	-6.08837	-0.01194698	LOC100128172	
ITGB3BP	5.54E-01	3.84E-01	0.875579	-6.08879	0.02016341	ITGB3BP	
KLHL20	5.54E-01	3.84E-01	0.875417	-6.08893	0.03460319	KLHL20	
LOC100129297	5.54E-01	3.84E-01	0.875382	-6.08896	0.01922158	LOC100129297	
LOC652401	5.54E-01	3.84E-01	-0.875342	-6.089	-0.00886049	LOC652401	
TTTY21	5.55E-01	3.84E-01	-0.874785	-6.08947	-0.0074147	TTTY21	
LOC643486	5.55E-01	3.84E-01	0.874733	-6.08952	0.00853383	LOC643486	
MIR296	5.55E-01	3.84E-01	0.874709	-6.08954	0.0111739	MIR296	
TSN	5.55E-01	3.84E-01	-0.874635	-6.0896	-0.05030974	TSN	
TBC1D10A	5.55E-01	3.84E-01	0.874622	-6.08961	0.02376092	TBC1D10A	
CSPP1	5.55E-01	3.84E-01	-0.874597	-6.08964	-0.0470123	CSPP1	
ABCC6P2	5.55E-01	3.85E-01	0.874531	-6.08969	0.03713302	ABCC6P2	NA
GOLGA2LY2	5.55E-01	3.85E-01	0.874473	-6.08974	0.00989746	GOLGA2LY2	
OR13A1	5.55E-01	3.85E-01	-0.874307	-6.08988	-0.01401323	OR13A1	
LOC642702	5.55E-01	3.85E-01	0.874287	-6.0899	0.01021761	LOC642702	
TRIM10	5.55E-01	3.85E-01	0.874164	-6.09001	0.00633328	TRIM10	
RABGGTA	5.55E-01	3.85E-01	-0.87408	-6.09008	-0.01266187	RABGGTA	
MIR100	5.55E-01	3.85E-01	-0.873907	-6.09023	-0.01428271	MIR100	
LOC651675	5.55E-01	3.85E-01	-0.873791	-6.09033	-0.01256282	LOC651675	
SCGB3A2	5.55E-01	3.85E-01	0.873734	-6.09037	0.01512833	SCGB3A2	
N4BP1	5.55E-01	3.85E-01	0.873603	-6.09049	0.04058734	N4BP1	
DEFB132	5.55E-01	3.85E-01	0.873555	-6.09053	0.00856774	DEFB132	
INPP5E	5.55E-01	3.85E-01	0.87351	-6.09057	0.09673153	INPP5E	
FLJ37078	5.55E-01	3.85E-01	-0.873506	-6.09057	-0.05333086	FLJ37078	
HS.577761	5.55E-01	3.85E-01	-0.873446	-6.09062	-0.00785617	HS.577761	
COX11	5.55E-01	3.85E-01	-0.873409	-6.09065	-0.04981561	COX11	
LOC387701	5.55E-01	3.85E-01	-0.873393	-6.09067	-0.01118615	LOC387701	
HS.21820	5.55E-01	3.85E-01	0.873377	-6.09068	0.01731329	HS.21820	
PTPN7	5.55E-01	3.85E-01	-0.873329	-6.09072	-0.09129518	PTPN7	
LOC100129282	5.55E-01	3.85E-01	-0.873326	-6.09072	-0.01030932	LOC100129282	
CLDN12	5.55E-01	3.85E-01	-0.873233	-6.0908	-0.06309609	CLDN12	
LOC284395	5.56E-01	3.85E-01	0.873094	-6.09092	0.04348018	LOC284395	
LOC644739	5.56E-01	3.85E-01	0.873074	-6.09094	0.02593452	LOC644739	
LOC100130987	5.56E-01	3.85E-01	0.872998	-6.091	0.01359864	LOC100130987	
HS.572624	5.56E-01	3.85E-01	-0.872934	-6.09106	-0.01085173	HS.572624	
LOC100133629	5.56E-01	3.85E-01	0.872923	-6.09107	0.01029286	LOC100133629	
GPR115	5.56E-01	3.85E-01	-0.872785	-6.09119	-0.0102773	GPR115	
LOC653156	5.56E-01	3.86E-01	-0.872661	-6.09129	-0.01489837	LOC653156	
HS.549668	5.56E-01	3.86E-01	0.872429	-6.09149	0.02276549	HS.549668	
MGC72104	5.56E-01	3.86E-01	0.872351	-6.09156	0.10409647	MGC72104	
NINJ2	5.56E-01	3.86E-01	0.872298	-6.0916	0.10452932	NINJ2	
LOC642509	5.56E-01	3.86E-01	0.872053	-6.09181	0.01114474	LOC642509	
EMR4P	5.56E-01	3.86E-01	0.871919	-6.09192	0.00956878	EMR4P	
LOC100131061	5.56E-01	3.86E-01	0.871811	-6.09202	0.01539837	LOC100131061	
LOC100134328	5.56E-01	3.86E-01	-0.871738	-6.09208	-0.01070606	LOC100134328	
NCRNA00167	5.56E-01	3.86E-01	-0.871595	-6.0922	-0.01145927	NCRNA00167	
TBX10	5.57E-01	3.86E-01	0.871366	-6.0924	0.03296956	TBX10	
APOBEC1	5.57E-01	3.86E-01	0.871351	-6.09241	0.01244082	APOBEC1	
RNF40	5.57E-01	3.86E-01	-0.871318	-6.09244	-0.04828434	RNF40	
LOC644974	5.57E-01	3.86E-01	-0.871244	-6.0925	-0.00950121	LOC644974	
CEP250	5.57E-01	3.86E-01	-0.87123	-6.09251	-0.01743271	CEP250	
LOC645435	5.57E-01	3.86E-01	0.871119	-6.09261	0.00952557	LOC645435	
LOC100132944	5.57E-01	3.86E-01	0.871099	-6.09262	0.00523051	LOC100132944	
COX4I2	5.57E-01	3.86E-01	-0.871067	-6.09265	-0.02199376	COX4I2	
TTC30B	5.57E-01	3.87E-01	-0.870894	-6.0928	-0.02282365	TTC30B	
SLC24A5	5.57E-01	3.87E-01	0.870776	-6.0929	0.01049866	SLC24A5	
SOST	5.57E-01	3.87E-01	0.870713	-6.09295	0.00811354	SOST	
LOC100131760	5.57E-01	3.87E-01	0.870562	-6.09308	0.01288784	LOC100131760	
LOC100132469	5.57E-01	3.87E-01	-0.870424	-6.0932	-0.00827769	LOC100132469	
LOC650122	5.57E-01	3.87E-01	0.870424	-6.0932	0.01466436	LOC650122	
HS.335002	5.57E-01	3.87E-01	-0.870287	-6.09332	-0.01028602	HS.335002	
LOC158730	5.57E-01	3.87E-01	0.870284	-6.09332	0.01059564	LOC158730	
OR6C75	5.57E-01	3.87E-01	0.87022	-6.09337	0.01108258	OR6C75	
LOC653980	5.57E-01	3.87E-01	0.869982	-6.09358	0.00784811	LOC653980	
HS.540976	5.58E-01	3.87E-01	0.869289	-6.09417	0.01119206	HS.540976	
LOC730684	5.58E-01	3.87E-01	-0.869199	-6.09424	-0.00977522	LOC730684	
DEFB126	5.58E-01	3.87E-01	-0.869131	-6.0943	-0.00849289	DEFB126	
UEVLD	5.58E-01	3.87E-01	-0.869122	-6.09431	-0.03338509	UEVLD	
TAS2R16	5.58E-01	3.88E-01	-0.869057	-6.09436	-0.01088231	TAS2R16	
LOC728034	5.58E-01	3.88E-01	0.868921	-6.09448	0.0205394	LOC728034	
LOC652612	5.58E-01	3.88E-01	-0.868851	-6.09454	-0.01191093	LOC652612	
LOC100129652	5.58E-01	3.88E-01	0.868785	-6.0946	0.00768238	LOC100129652	
LOC100128913	5.58E-01	3.88E-01	0.86871	-6.09466	0.01033904	LOC100128913	
LOC253482	5.58E-01	3.88E-01	-0.868638	-6.09472	-0.0089348	LOC253482	
ZC3H4	5.58E-01	3.88E-01	0.868637	-6.09472	0.0544843	ZC3H4	
HS.262789	5.58E-01	3.88E-01	-0.868607	-6.09475	-0.01740474	HS.262789	
ZNF180	5.58E-01	3.88E-01	-0.86841	-6.09491	-0.01225662	ZNF180	
LOC442206	5.58E-01	3.88E-01	0.868336	-6.09498	0.01016522	LOC442206	
PDZK3	5.58E-01	3.88E-01	0.86821	-6.09509	0.01554898	PDZK3	
LOC730419	5.58E-01	3.88E-01	0.868153	-6.09513	0.00862166	LOC730419	
TTTY18	5.58E-01	3.88E-01	-0.867796	-6.09544	-0.00791031	TTTY18	
PAX8	5.59E-01	3.88E-01	-0.86759	-6.09561	-0.00872363	PAX8	
YPEL3	5.59E-01	3.88E-01	-0.867437	-6.09574	-0.10100646	YPEL3	
ZNF560	5.59E-01	3.88E-01	0.867437	-6.09574	0.009038	ZNF560	
LOC643401	5.59E-01	3.88E-01	-0.867237	-6.09591	-0.00737651	LOC643401	
LOC728534	5.59E-01	3.89E-01	0.867195	-6.09595	0.01005987	LOC728534	
RECQL5	5.59E-01	3.89E-01	-0.867122	-6.09601	-0.01936831	RECQL5	
TPST1	5.59E-01	3.89E-01	-0.866992	-6.09612	-0.06447246	TPST1	
LOC642849	5.59E-01	3.89E-01	0.866944	-6.09616	0.01293153	LOC642849	
ZDHHC12	5.59E-01	3.89E-01	0.866934	-6.09617	0.01757699	ZDHHC12	
LOC100133836	5.59E-01	3.89E-01	-0.866806	-6.09628	-0.02925648	LOC100133836	
C13ORF29	5.59E-01	3.89E-01	-0.866764	-6.09631	-0.01147101	C13ORF29	
RAB36	5.59E-01	3.89E-01	-0.866465	-6.09657	-0.05607749	RAB36	
HS.382309	5.59E-01	3.89E-01	0.866343	-6.09667	0.01212403	HS.382309	
LOC647206	5.59E-01	3.89E-01	0.866278	-6.09673	0.00909046	LOC647206	
HS.539516	5.59E-01	3.89E-01	0.866146	-6.09684	0.01294807	HS.539516	
LOC100133555	5.59E-01	3.89E-01	-0.866083	-6.09689	-0.01408408	LOC100133555	
LOC650405	5.59E-01	3.89E-01	-0.866064	-6.09691	-0.01291954	LOC650405	
GLP2R	5.59E-01	3.89E-01	-0.865976	-6.09698	-0.01098524	GLP2R	
SNORD12C	5.59E-01	3.89E-01	-0.865948	-6.09701	-0.02140622	SNORD12C	
LOC100131064	5.60E-01	3.89E-01	-0.865459	-6.09742	-0.0071909	LOC100131064	
LOC100133817	5.60E-01	3.89E-01	0.865425	-6.09745	0.01243547	LOC100133817	
GPC3	5.60E-01	3.89E-01	0.865395	-6.09747	0.01174272	GPC3	
FAM10A7	5.60E-01	3.90E-01	-0.865349	-6.09751	-0.05441594	FAM10A7	
ANKRD38	5.60E-01	3.90E-01	0.865212	-6.09763	0.06161597	ANKRD38	
LOC651586	5.60E-01	3.90E-01	0.865137	-6.09769	0.01074302	LOC651586	
MIB2	5.60E-01	3.90E-01	-0.865132	-6.0977	-0.07622391	MIB2	
WEE2	5.60E-01	3.90E-01	-0.865016	-6.09779	-0.00993585	WEE2	
LOC100128615	5.60E-01	3.90E-01	0.864716	-6.09805	0.0082546	LOC100128615	
LOC388242	5.60E-01	3.90E-01	0.864657	-6.0981	0.01310183	LOC388242	
HS.325396	5.60E-01	3.90E-01	0.864502	-6.09823	0.01427387	HS.325396	
LOC440277	5.60E-01	3.90E-01	-0.8645	-6.09823	-0.00976499	LOC440277	
LOC100133881	5.60E-01	3.90E-01	0.864397	-6.09832	0.00920168	LOC100133881	
OR5K1	5.60E-01	3.90E-01	0.864286	-6.09841	0.01141492	OR5K1	
LOC653600	5.60E-01	3.90E-01	-0.864092	-6.09858	-0.01771664	LOC653600	
HIST1H2BN	5.60E-01	3.90E-01	-0.864082	-6.09859	-0.01028899	HIST1H2BN	
SCARNA4	5.60E-01	3.90E-01	0.864078	-6.09859	0.01333182	SCARNA4	
LOC100132857	5.60E-01	3.90E-01	0.864028	-6.09863	0.01054532	LOC100132857	
LOC100130084	5.60E-01	3.90E-01	-0.863988	-6.09867	-0.00991277	LOC100130084	
HS.135528	5.60E-01	3.90E-01	-0.863931	-6.09871	-0.01310118	HS.135528	
OR4K1	5.61E-01	3.90E-01	-0.863863	-6.09877	-0.0102899	OR4K1	
LOC340260	5.61E-01	3.90E-01	-0.863703	-6.09891	-0.01131789	LOC340260	
HS.582550	5.61E-01	3.90E-01	0.863664	-6.09894	0.01781964	HS.582550	
CERKL	5.61E-01	3.90E-01	-0.863629	-6.09897	-0.00908564	CERKL	
LOC642169	5.61E-01	3.90E-01	0.863596	-6.099	0.01251339	LOC642169	
LOC650534	5.61E-01	3.91E-01	-0.863548	-6.09904	-0.01025639	LOC650534	
LOC653093	5.61E-01	3.91E-01	0.863431	-6.09914	0.01084211	LOC653093	
LHFPL1	5.61E-01	3.91E-01	-0.863426	-6.09914	-0.0222542	LHFPL1	
LOC100129619	5.61E-01	3.91E-01	-0.863316	-6.09923	-0.01088591	LOC100129619	
LOC648196	5.61E-01	3.91E-01	-0.86327	-6.09927	-0.01247112	LOC648196	
LOC645277	5.61E-01	3.91E-01	0.862736	-6.09972	0.01024212	LOC645277	
LOC100133025	5.61E-01	3.91E-01	0.862607	-6.09983	0.01004716	LOC100133025	
C6ORF58	5.61E-01	3.91E-01	-0.862548	-6.09988	-0.00916942	C6ORF58	
BCAR4	5.61E-01	3.91E-01	-0.862482	-6.09994	-0.01161428	BCAR4	
LOC643857	5.61E-01	3.91E-01	0.86245	-6.09996	0.01238097	LOC643857	
FBXW9	5.61E-01	3.91E-01	-0.862363	-6.10004	-0.04620237	FBXW9	
LOC100129030	5.61E-01	3.91E-01	0.862298	-6.10009	0.01092116	LOC100129030	
POLD4	5.62E-01	3.91E-01	0.861891	-6.10044	0.02718665	POLD4	
LOC121906	5.62E-01	3.92E-01	-0.861693	-6.1006	-0.00668628	LOC121906	
UNC13D	5.62E-01	3.92E-01	0.86133	-6.10091	0.01586042	UNC13D	
HS.548302	5.62E-01	3.92E-01	-0.861208	-6.10101	-0.00932015	HS.548302	
SEMA3D	5.62E-01	3.92E-01	0.861166	-6.10105	0.01752985	SEMA3D	
LOC100134248	5.62E-01	3.92E-01	0.861109	-6.1011	0.01103731	LOC100134248	
LOC647797	5.62E-01	3.92E-01	-0.861108	-6.1011	-0.00856239	LOC647797	
C14ORF70	5.62E-01	3.92E-01	0.860957	-6.10123	0.01108012	C14ORF70	
LOC387873	5.62E-01	3.92E-01	-0.86085	-6.10132	-0.01205186	LOC387873	
LOC652078	5.62E-01	3.92E-01	0.860821	-6.10134	0.01434371	LOC652078	
LOC646484	5.62E-01	3.92E-01	-0.860819	-6.10134	-0.00954803	LOC646484	
LOC730796	5.62E-01	3.92E-01	0.860662	-6.10147	0.00885497	LOC730796	
THOP1	5.62E-01	3.92E-01	0.860628	-6.1015	0.05910837	THOP1	
NAG18	5.62E-01	3.92E-01	0.860503	-6.10161	0.04706368	NAG18	
LOC100130549	5.62E-01	3.92E-01	-0.860477	-6.10163	-0.01109611	LOC100130549	
LOC642178	5.62E-01	3.92E-01	0.860362	-6.10173	0.00977416	LOC642178	
HS.565921	5.63E-01	3.92E-01	0.860243	-6.10183	0.01026328	HS.565921	
PTPN1	5.63E-01	3.92E-01	0.859913	-6.10211	0.05602328	PTPN1	
SNORD3D	5.63E-01	3.93E-01	0.859813	-6.10219	0.09513847	SNORD3D	
SULT1C2	5.63E-01	3.93E-01	-0.85975	-6.10224	-0.00997356	SULT1C2	
LOC388177	5.63E-01	3.93E-01	0.859742	-6.10225	0.01355041	LOC388177	
LOC653305	5.63E-01	3.93E-01	0.859631	-6.10234	0.01065358	LOC653305	
C4ORF46	5.63E-01	3.93E-01	-0.859464	-6.10248	-0.02941701	C4ORF46	
LOC100133403	5.63E-01	3.93E-01	0.859462	-6.10248	0.00847617	LOC100133403	
SNORD50A	5.63E-01	3.93E-01	-0.859295	-6.10263	-0.01214901	SNORD50A	
GJB6	5.63E-01	3.93E-01	-0.859225	-6.10268	-0.12784327	GJB6	
HS.532001	5.63E-01	3.93E-01	0.858988	-6.10288	0.0090014	HS.532001	
LOC440080	5.63E-01	3.93E-01	-0.85898	-6.10289	-0.00644489	LOC440080	
LTBP4	5.63E-01	3.93E-01	-0.858798	-6.10304	-0.04315657	LTBP4	
LOC100133232	5.63E-01	3.93E-01	-0.858598	-6.10321	-0.02186734	LOC100133232	
HS.538176	5.63E-01	3.93E-01	0.858512	-6.10328	0.01084797	HS.538176	
LOC644828	5.63E-01	3.93E-01	-0.858508	-6.10329	-0.01049476	LOC644828	
HS.560459	5.63E-01	3.93E-01	0.858496	-6.1033	0.01174717	HS.560459	
SMG6	5.63E-01	3.93E-01	0.858459	-6.10333	0.02878663	SMG6	
FADS1	5.63E-01	3.93E-01	-0.858423	-6.10336	-0.06817739	FADS1	
SNORD123	5.64E-01	3.93E-01	0.858362	-6.10341	0.0100499	SNORD123	
LOC729427	5.64E-01	3.93E-01	-0.858342	-6.10343	-0.00880645	LOC729427	
KRTAP19-3	5.64E-01	3.93E-01	-0.858185	-6.10356	-0.01051361	KRTAP19-3	
LOC653750	5.64E-01	3.93E-01	0.858111	-6.10362	0.00822825	LOC653750	
SLC15A2	5.64E-01	3.94E-01	0.85797	-6.10374	0.06095106	SLC15A2	
LOC283487	5.64E-01	3.94E-01	-0.857781	-6.1039	-0.01528275	LOC283487	
LOC644068	5.64E-01	3.94E-01	0.857696	-6.10397	0.01278699	LOC644068	
AHCYL1	5.64E-01	3.94E-01	0.857561	-6.10408	0.07835757	AHCYL1	
LOC100131234	5.64E-01	3.94E-01	0.857329	-6.10428	0.00920349	LOC100131234	
LOC402282	5.64E-01	3.94E-01	-0.857204	-6.10438	-0.01055259	LOC402282	
HS.222221	5.65E-01	3.94E-01	-0.856761	-6.10475	-0.01103847	HS.222221	
SHISA2	5.65E-01	3.94E-01	0.856494	-6.10498	0.04359571	SHISA2	
HS.537432	5.65E-01	3.94E-01	0.85646	-6.10501	0.01360125	HS.537432	
RNF128	5.65E-01	3.94E-01	-0.856373	-6.10508	-0.02263538	RNF128	
C9ORF144B	5.65E-01	3.94E-01	0.85637	-6.10508	0.01398967	C9ORF144B	
HS.552357	5.65E-01	3.95E-01	0.856155	-6.10526	0.0244251	HS.552357	
H1FX	5.65E-01	3.95E-01	-0.856146	-6.10527	-0.05646181	H1FX	
LOC440895	5.65E-01	3.95E-01	-0.856144	-6.10527	-0.00808951	LOC440895	
LOC100128168	5.65E-01	3.95E-01	0.856027	-6.10537	0.01023499	LOC100128168	
LOC649276	5.65E-01	3.95E-01	-0.855993	-6.1054	-0.01192411	LOC649276	
LOC728295	5.65E-01	3.95E-01	-0.855491	-6.10582	-0.00976116	LOC728295	
VPS72	5.65E-01	3.95E-01	-0.855445	-6.10586	-0.03906693	VPS72	
ABRA	5.65E-01	3.95E-01	-0.855415	-6.10588	-0.00941758	ABRA	
SMARCC2	5.65E-01	3.95E-01	0.855326	-6.10596	0.05065202	SMARCC2	
LOC100132883	5.65E-01	3.95E-01	0.855206	-6.10606	0.00820883	LOC100132883	
C2ORF82	5.66E-01	3.95E-01	0.854976	-6.10625	0.12776531	C2ORF82	
LOC100130935	5.66E-01	3.95E-01	-0.854711	-6.10647	-0.01334784	LOC100130935	
FFAR2	5.66E-01	3.95E-01	0.854693	-6.10649	0.0084469	FFAR2	
NUDT16L1	5.66E-01	3.95E-01	0.854654	-6.10652	0.04743752	NUDT16L1	
TOPORS	5.66E-01	3.95E-01	0.854654	-6.10652	0.02306572	TOPORS	
PCGEM1	5.66E-01	3.95E-01	-0.854553	-6.1066	-0.00985787	PCGEM1	
LOC100134121	5.66E-01	3.95E-01	0.854497	-6.10665	0.00926886	LOC100134121	
LOC649683	5.66E-01	3.96E-01	0.854404	-6.10673	0.00931191	LOC649683	
ZNF454	5.66E-01	3.96E-01	-0.854209	-6.10689	-0.03476935	ZNF454	
TOMM20L	5.66E-01	3.96E-01	0.854068	-6.10701	0.00940476	TOMM20L	
LOC389365	5.66E-01	3.96E-01	-0.854061	-6.10702	-0.01480504	LOC389365	
LOC642816	5.66E-01	3.96E-01	0.853971	-6.10709	0.01731978	LOC642816	
PAAF1	5.66E-01	3.96E-01	0.853833	-6.10721	0.05591272	PAAF1	
FTHL2	5.66E-01	3.96E-01	0.853787	-6.10725	0.09724813	FTHL2	
C6ORF85	5.66E-01	3.96E-01	-0.85373	-6.10729	-0.04908872	C6ORF85	
C12ORF42	5.66E-01	3.96E-01	-0.853699	-6.10732	-0.01164062	C12ORF42	
PNMA6B	5.66E-01	3.96E-01	0.85368	-6.10733	0.01316586	PNMA6B	
HS.444329	5.66E-01	3.96E-01	0.853623	-6.10738	0.03230021	HS.444329	
HS.572238	5.66E-01	3.96E-01	0.853457	-6.10752	0.01288756	HS.572238	
LOC643224	5.66E-01	3.96E-01	0.853351	-6.10761	0.00806484	LOC643224	
HS.548804	5.66E-01	3.96E-01	0.853238	-6.1077	0.01456445	HS.548804	
LOC647450	5.66E-01	3.96E-01	-0.853218	-6.10772	-0.01933272	LOC647450	
C10ORF27	5.66E-01	3.96E-01	0.853172	-6.10776	0.01366836	C10ORF27	
LOC145814	5.66E-01	3.96E-01	-0.853083	-6.10783	-0.01526002	LOC145814	
P2RY1	5.66E-01	3.96E-01	-0.853027	-6.10788	-0.03056114	P2RY1	
ARFRP1	5.67E-01	3.96E-01	-0.852859	-6.10802	-0.01422463	ARFRP1	
CCDC152	5.67E-01	3.96E-01	-0.852834	-6.10804	-0.0212317	CCDC152	
ZDHHC20	5.67E-01	3.96E-01	-0.852795	-6.10807	-0.01730702	ZDHHC20	
TYR	5.67E-01	3.96E-01	-0.852783	-6.10808	-0.01078367	TYR	
LOC642675	5.67E-01	3.96E-01	0.852671	-6.10818	0.01101935	LOC642675	
PAR1	5.67E-01	3.96E-01	0.852633	-6.10821	0.10498223	PAR1	
H6PD	5.67E-01	3.97E-01	-0.852506	-6.10832	-0.01194102	H6PD	
SFT2D1	5.67E-01	3.97E-01	-0.852481	-6.10834	-0.10106846	SFT2D1	
LOC100133916	5.67E-01	3.97E-01	-0.85247	-6.10835	-0.011266	LOC100133916	
LOC441268	5.67E-01	3.97E-01	0.852402	-6.1084	0.06642253	LOC441268	
SLC35D3	5.67E-01	3.97E-01	-0.852359	-6.10844	-0.01142004	SLC35D3	
BAALC	5.67E-01	3.97E-01	-0.852328	-6.10846	-0.06138858	BAALC	
LOC100132691	5.67E-01	3.97E-01	0.852319	-6.10847	0.00921052	LOC100132691	
GPR179	5.67E-01	3.97E-01	0.85222	-6.10856	0.00860836	GPR179	
HS.544321	5.67E-01	3.97E-01	0.85216	-6.10861	0.01181912	HS.544321	
C17ORF60	5.67E-01	3.97E-01	0.85192	-6.10881	0.01887919	C17ORF60	
